itemLabel,areaLabel,partyLabel
Daniel Dhieu Matuet,Lakes,SPLM
Paul Mayom Akec,Lakes,SPLM
Daniel Deng Monydit,Lakes,SPLM
Akol Paul Kordit,Lakes,SPLM
Simon Malual Deng,Lakes,SPLM
Zacharia Matur Makuer,Lakes,SPLM
Chier Ramzi Monyping,Lakes,SPLM
Isaac Deng Tur,Lakes,SPLM
Suzana Peter Machar,Lakes,SPLM
Monica Ayen Maguat,Lakes,SPLM
Jamal Juma Kakaya,Lakes,SPLM
Susan Solomon Mamour,Lakes,SPLM
Abuk Malual Aken,Lakes,SPLM
Awel Mawien Atem,Lakes,SPLM
Parmena Awerial Aluong,Lakes,SPLM
Bullen Kot Beny,Lakes,SPLM
David Deng Athorbei,Lakes,SPLM
Gordon Matot Tut,Lakes,SPLM
Johnson Jongkuch Kulang,Lakes,SPLM
Monica Nyacut Arok,Lakes,SPLM
Rebecca Atuet Makuel,Lakes,SPLM
Rebecca Aluel Mayor,Lakes,SPLM
Daniel Awet Akot,Lakes,SPLM
Alambeny Mallet Riak,Lakes,SPLM
Amelia Aluel Bol,Lakes,SPLM
Regina Stephen Mading,Lakes,SPLM-IO
Joseph Mawal Dong,Lakes,SPLM-IO
Daniel Chol Omejek,Lakes,SPLM-IO
James Kuol Deng Dier,Lakes,SPLM-IO
Sonia Salah Idris,Lakes,SPLM-IO
Yar Telar Ring Deng,Lakes,SPLM-IO
John Sebit Madit,Lakes,SPLM-IO
Gai Mayen Luk,Lakes,SPLM-IO
Akuich Majier Malek,Lakes,SPLM-IO
Anok Bior Wuol,Lakes,SPLM-IO
Achol Marial Deng,Lakes,SPLM-IO
Bol Joseph Agau,Lakes,SSOA
Abraham Adut Mapar,Lakes,OPP
Mayen Jeremiah Turic,Lakes,OPP
Akot Dut Ajieng,Lakes,FDs
Dharuai Mabor Teny,Lakes,National Agenda
Matur Mayinde Riak,Lakes,National Agenda
Margret Samuel Aru,Lakes,National Agenda
Gabriel Roric Jur,Lakes,National Agenda
Magod Maker Mayinidi,Lakes,DC
Stephen Ajongo Akol,Northern Bahr el Ghazal,SPLM
Yourew Wol kuot,Northern Bahr el Ghazal,SPLM
Simon Deng Duang,Northern Bahr el Ghazal,SPLM
Akuar Gamar Ujieth,Northern Bahr el Ghazal,SPLM
Mary Garang Anei,Northern Bahr el Ghazal,SPLM
Lily Albino Akol Akol,Northern Bahr el Ghazal,SPLM
Akuot Deng Kawac,Northern Bahr el Ghazal,SPLM
Kom Kom Geng,Northern Bahr el Ghazal,SPLM
Peter Lual Lual,Northern Bahr el Ghazal,SPLM
Oliver Majok Aleu,Northern Bahr el Ghazal,SPLM
John Agany Deng,Northern Bahr el Ghazal,SPLM
Elizabeth Adut Mel,Northern Bahr el Ghazal,SPLM
Veronica Nyantonj Ring,Northern Bahr el Ghazal,SPLM
Jaqueline Nyibol Ajongo,Northern Bahr el Ghazal,SPLM
Deng Majok Athian,Northern Bahr el Ghazal,SPLM
Bol Pio Tem Kuach,Northern Bahr el Ghazal,SPLM
Sumeya Adut Deng Amet,Northern Bahr el Ghazal,SPLM
Mel Wal Achien,Northern Bahr el Ghazal,SPLM
Deng Tong Kuol,Northern Bahr el Ghazal,SPLM
Josephine Moses Ladu,Northern Bahr el Ghazal,SPLM
Ngong Deng Gum,Northern Bahr el Ghazal,SPLM
James Aguer Alec,Northern Bahr el Ghazal,SPLM
Malong Lual Ding,Northern Bahr el Ghazal,SPLM
Philip Akot Malith,Northern Bahr el Ghazal,SPLM
Jacob Dau Kuol,Northern Bahr el Ghazal,SPLM
Salva Chol Ayat,Northern Bahr el Ghazal,SPLM
Akec Pabior Gol,Northern Bahr el Ghazal,SPLM-IO
Regina Garang Yor,Northern Bahr el Ghazal,SPLM-IO
Chan Deng Marok,Northern Bahr el Ghazal,SPLM-IO
Abuk Akok Akok,Northern Bahr el Ghazal,SPLM-IO
Bak Deng Nyang,Northern Bahr el Ghazal,SPLM-IO
Albino Mawien Bol,Northern Bahr el Ghazal,SPLM-IO
Lek Malong Yor,Northern Bahr el Ghazal,SPLM-IO
Ibrahim Abdaibagi Akol,Northern Bahr el Ghazal,SSOA
Peter Mabior Riny Lual,Northern Bahr el Ghazal,SSOA
Malong Majok Yor,Northern Bahr el Ghazal,SSOA
Natalina Amjima Malek,Northern Bahr el Ghazal,SSOA
James Longar Wol,Northern Bahr el Ghazal,OPP
Gurwel Akol Akok Anei,Northern Bahr el Ghazal,OPP
El Thieb Dut Kuol,Northern Bahr el Ghazal,OPP
Thiop Deng Kawac Thiop,Northern Bahr el Ghazal,OPP
Primo Ajou Deng Garang,Northern Bahr el Ghazal,OPP
Yor Achien Angok,Northern Bahr el Ghazal,OPP
Madut Biar Yel,Northern Bahr el Ghazal,FDs
Mayom Kuoc Malek,Northern Bahr el Ghazal,National Agenda
Bona Deng Lawrence,Northern Bahr el Ghazal,National Agenda
Gabriel Gout Gout,Northern Bahr el Ghazal,National Agenda
Mangok Gum Nyuol,Warrap,SPLM
Goch Makuach Mayol,Warrap,SPLM
Kuany Mayom Deng,Warrap,SPLM
Majok Yak Majok,Warrap,SPLM
Mary Nyanut Ring Machar,Warrap,SPLM
Rose Adau Deng,Warrap,SPLM
Charles Majak Aler,Warrap,SPLM
Wol Deng Alew,Warrap,SPLM
Nyang Augustino Nyang Bak,Warrap,SPLM
Alma Jervas Yak,Warrap,SPLM
Joseph Garang Maluil,Warrap,SPLM
James Lual Deng Kuel,Warrap,SPLM
Machok Majong Jong,Warrap,SPLM
Kuot Deng Kuot,Warrap,SPLM
Mary Atong Bak,Warrap,SPLM
Suzan Wasuk Sukiri,Warrap,SPLM
Akon Ding Athian,Warrap,SPLM
Franko Akech Ring,Warrap,SPLM
Salva Mathok Gengdit,Warrap,SPLM
Agoth Ngot Riny,Warrap,SPLM
Wek Mamer Kuol,Warrap,SPLM
Joseph Mathuc Mou,Warrap,SPLM
Augustino Mathok Thuc,Warrap,SPLM
Ayak Ngor Malek,Warrap,SPLM
Mayiik Ayii Deng,Warrap,SPLM
Caguor Adong Manyang,Warrap,SPLM
Kuol Mour Mour,Warrap,SPLM
Mawien Dhor Ariik,Warrap,SPLM
Majok Dut Muorwel,Warrap,SPLM
Nhial Deng Nhial,Warrap,SPLM
Nyibol Bol Matiop,Warrap,SPLM
Awut Deng Acuil,Warrap,SPLM
Martha Ayuek Yac,Warrap,SPLM
Ella Emilio Kersid,Warrap,SPLM
Bibi Ali Aker,Warrap,SPLM
Agasio Akol,Warrap,SPLM
Elizabeth Achuei Yol Kuol,Warrap,SPLM-IO
Kuot Akech Thokluoi,Warrap,SPLM-IO
Angelina Nyibol Thuoch,Warrap,SPLM-IO
Deng Yach Tong,Warrap,SPLM-IO
Nhial Bol Akeen,Warrap,SPLM-IO
Tereza Arkangelo Nyuol,Warrap,SPLM-IO
Athian Madut Maluil,Warrap,SPLM-IO
Chaguor Ater Bol,Warrap,SPLM-IO
Tereza Mawieu Chol Tong,Warrap,SPLM-IO
Juliano Danga Dudu,Warrap,SPLM-IO
Chabur Goc Alei Kuol,Warrap,SSOA
Peter Mayen Majongdit,Warrap,OPP
Regina Akuol Bol Mayen,Warrap,OPP
Jackline Adut Deng Juach,Warrap,OPP
John Dour Ngor Dour,Warrap,OPP
Gabriel Majong Majong,Warrap,OPP
James Deng Kwau Akoon,Warrap,OPP
Deborah Uduol Okiec,Warrap,OPP
Simon Mou Thiik,Warrap,OPP
