position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the National Legislative Assembly,Riek Machar,Q444994,2011-07-09,2016-08-04,male,1953,,Riek Machar VOA photo.jpg,Riek Machar
Member of the National Legislative Assembly,Agnes Kwaje Lasuba,Q4693074,2011-07-09,2016-08-04,female,1948-08-14,,,Agnes Kwaje Lasuba
Member of the National Legislative Assembly,Anthony Lino Makana,Q4772949,2011-07-09,2016-08-04,male,,,"Anthony Lino Makana, December 2017 (5122) (cropped2).jpg",Anthony Lino Makana
Member of the National Legislative Assembly,Barnaba Marial Benjamin,Q4861322,2011-07-09,2016-08-04,male,,,Barnaba Marial Benjamin.jpg,Barnaba Marial Benjamin
Member of the National Legislative Assembly,Nhial Deng Nhial,Q4893553,2011-07-09,2016-08-04,male,1952-01-01,,Nhial Deng Nhial (cropped).jpg,Nhial Deng Nhial
Member of the National Legislative Assembly,Betty Ogwaro,Q4898942,2011-07-09,2016-08-04,female,,,Betty Ogwaro (cropped).JPG,Betty Ogwaro
Member of the National Legislative Assembly,David Deng Athorbie,Q5232921,2011-07-09,2016-08-04,male,,,,David Deng Athorbei
Member of the National Legislative Assembly,James Wani Igga,Q6145116,2011-07-09,2016-08-04,male,1949,,James Wani Igga.JPG,James Wani Igga
Member of the National Legislative Assembly,Luka Tombekana Monoja,Q6701644,2011-07-09,2016-08-04,male,,,,Luka Tombekana Monoja
Member of the National Legislative Assembly,Madut Biar Yel,Q6728866,2011-07-09,2016-08-04,male,,,,Madut Biar Yel
Member of the National Legislative Assembly,Michael Makue Loweth,Q6832462,2011-07-09,2016-08-04,male,,,,Michael Makue Loweth
Member of the National Legislative Assembly,Paul Mayom Akech,Q7152291,2011-07-09,2016-08-04,male,,,,Paul Mayom Akech
